# Komentarze zaczynają się znakiem # i występują tylko na początku pliku. Można je usunąć ręcznie lub (lepiej) napisać program tak, by je ignorował.
# Każda linia niebędąca komentarzem (jest ich 18936) zawiera informacje o jednym odcinku szlaku/szlaków, czyli kolejno:
# - długość odcinka w kilometrach (zmiennoprzecinkowa),
# - identyfikatory (całkowitoliczbowe) i nazwy (które tu są głównie dla urozmaicenia, nie zawierają średników i niestety są powtarzalne) punktów końcowych odcinka,
# - "kolor(y)", jakimi oznakowany jest odcinek,
# wszystko pooddzielane średnikami.
# Kolory mają dosyć dziwne nazwy i jest ich 18.
0.7016;3040;Jelenka, rozc.;1373;Sowia Przełęcz;hiking_trail_blue;hiking_trail_red
2.1412;12473;Sandomierz, rzeka Wisła;12480;Rezerwat Góry Pieprzowe;hiking_trail_red
1.0273;10206;Głębowice;10217;Trzcinica Wołowska;hiking_trail_green;hiking_trail_black
0.9193;4563;Centrum Konferencyjno-Szkoleniowe Poraj;4564;Komorniki;hiking_trail_green
6.1396;3898;Jablunkov, ulice Lesní;3896;Štípanka;hiking_trail_green
6.213;15636;Zator;15637;Piotrowice;jacobs_trail_None
0.3984;10361;Pogwizdów, pomnik;9651;Pogwizdów, ul. Gajowa;hiking_trail_green
2.5927;1446;Zadní Rennerovky, skrzyżowanie;1122;Hanapetrova paseka;hiking_trail_yellow
0.1783;13690;Wojcieszów, ul. Robotnicza;13090;Wojcieszów, ul. Kościelna;hiking_trail_didactic_red
0.3833;11770;Karpacz, centrum medyczne;13125;Rozejście szlaków;hiking_trail_local_green
0.9062;6659;Kotliská;6695;Krížske sedlo;hiking_trail_red
0.2856;3002;Jarkowice;9150;Jarkowice, mostek;hiking_trail_yellow;hiking_trail_blue
3.5144;3430;Kamień;3431;Wolimierz;hiking_trail_blue
4.5066;5500;Nižné Šiprúnske sedlo;5495;Smrekovica, vojenská zotavovňa;hiking_trail_green
1.1205;1752;Pod Igliczną;1753;Marianówka;hiking_trail_red
5;5672;Kielce, tor jeździecki;8444;Telegraf;hiking_trail_blue
0.6621;6025;U Sekery;6026;Zřícenina hradu Střmen, rozc.;hiking_trail_blue
0.0416;13873;Rozejście szlaków;13871;Przełęcz pod Granicznikiem;hiking_trail_yellow;hiking_trail_black
0.039;11837;Rozejście ścieżek;11825;Odejście szlaku spacerowego;hiking_trail_local_yellow
1.0228;656;Schronisko PTTK Markowe Szczawiny;627;Przełęcz Brona;hiking_trail_red
1.229;14294;Lidzbark Warmiński;14295;Lidzbark Warmiński, stacja kolejowa;hiking_trail_blue
1.6918;182;Brzeziny;9173;Sucha Woda;hiking_trail_black
1.8426;2303;Rozdroże pod Działem Izerskim;2290;Schronisko Orle;hiking_trail_green
0.2293;9118;Gliwice, stacja kolejowa;9682;Gliwice, ul. Zwycięstwa;hiking_trail_green;hiking_trail_blue
3.0199;14347;Park linowy Chrobry;14350;Rozejście szlaków;hiking_trail_yellow
1.3285;5468;Machy a Hutnícke;5467;Majerova skala;hiking_trail_blue
1.0752;5864;Pod Wolnikiem;986;Pod Beskidami;hiking_trail_blue
0.0909;8607;Kamień Pomorski, ul. Wysockiego;8608;Kamień Pomorski, ul. Solskiego;hiking_trail_blue
1.602;4441;Ogrodzieniec, Lachowizna;4442;Podzamcze;hiking_trail_yellow;hiking_trail_green
3.6843;10798;Skrzyżowanie szlaków zielony – żółty – czarny;15158;Rozejście szlaków;hiking_trail_black
0.4574;13107;Jaworzynka, Czadeczka;754;Jaworzynka, Głębokie;hiking_trail_blue;hiking_trail_local_green
0.3364;2134;Kowadło;6095;Pod Kowadłem;hiking_trail_green
1.3519;2156;Ostružník;2192;Ostružná, Continental;hiking_trail_green
1.2065;9035;Pod Magurkou;9037;Magurka;hiking_trail_blue;hiking_trail_red
2.8165;10281;Oľšinkov;10280;Sedlo pod Košiarkou;hiking_trail_yellow
4.2751;14262;Zbiczno;14263;Droga do Zbiczna;hiking_trail_yellow
0.8376;1690;Pod Bystrą;1689;Jaroszowicka Góra;hiking_trail_black;hiking_trail_yellow
2.3177;9236;Chata pod Ľadonhorou;9240;Nad Kubaščíkovcami;hiking_trail_green
0.8378;4410;Dolina Sąspowska;4412;Złota Góra, parking;hiking_trail_green
2.9191;2175;Borówkowa;2082;Przełęcz Różaniec;hiking_trail_red;hiking_trail_green;hiking_trail_local_yellow
0.4134;13463;Oczków;13462;Kapliczka Habsburgów;hiking_trail_local_black
0.1654;3387;Cieplice, Pałac Schaffgotschów;11038;Cieplice, pl. Kombatanta;hiking_trail_blue;hiking_trail_green;hiking_trail_local_red
4.6142;14502;Wejsuny Małe;14518;Końcewo;hiking_trail_red
1.038;10246;Otusz, dworzec kolejowy;10247;Skrzynki;hiking_trail_blue
2.6899;2065;Sarny;1806;Tłumaczów;hiking_trail_yellow
1.4258;4512;Zrębice, rozejście szlaków;4527;Skałki św. Idziego;hiking_trail_blue;hiking_trail_green
2.9458;10927;Kamienna Góra;10928;Stanowisko Ogniowe 11 BAS;hiking_trail_yellow
4.6555;10052;Pysząca;10053;Pogalewo Małe;hiking_trail_blue
0.0265;8058;Skrzyżowanie szlaków zielony – czarny;8059;Skrzyżowanie szlaków zielony – czarny;hiking_trail_green;hiking_trail_black
0.8218;4797;Kalwaria;2211;Źródło Marii;hiking_trail_blue
0.0443;6475;Kalište;6741;Kalište, rázc.;hiking_trail_yellow;hiking_trail_blue
6.5773;15756;Rozejście szlaków;14695;Murowana Goślina;jacobs_trail_None
2.8144;3827;Świerki;3990;Bartnica, stacja kolejowa;hiking_trail_red
0.7713;9864;Jastrzębie Zdrój, pomnik;9863;Jastrzębie Zdrój, ul. Wodzisławska;hiking_trail_blue;hiking_trail_yellow
1.3365;7909;Glinik Stary;8010;Wiertnicze Rozdroże;hiking_trail_black
1.1924;11451;Białek;11452;Mlądz, Mądralin;hiking_trail_red
10.0321;14925;Szczelina Lechicka;14926;Mirachowo;hiking_trail_red
0.2561;5058;Pod Pálenicou;5057;Pod Tesnou Rizňou;hiking_trail_blue;hiking_trail_green
0.9873;223;Klasztor Albertynek;253;Polana Kalatówki;hiking_trail_blue
1.3844;10961;Pod Uhliskami;15393;Bałucianka, cerkiew;hiking_trail_local_blue
1.3144;3804;Przełęcz Przysłup;3806;Przysłup;hiking_trail_red
3.4457;10297;Brzeg Dolny, ul Urazka;10298;Wały Śląskie, elektrownia wodna;hiking_trail_blue
1.533;10869;Jezioro Borowo;10868;Nowy Dwór Wejherowski, szosa;hiking_trail_red
1.7783;8670;Muszyna, ul. Krótka;8674;Złockie;hiking_trail_green;hiking_trail_yellow
11.6272;9552;Gliwice, ul. Basztowa;9117;Przyszowice;hiking_trail_green
1.9858;14744;Nowęcin, ul. Letniskowa;14746;Nowęcin, ul. Lipowa;hiking_trail_red
0.6293;5887;Velké Poříčí, železniční stanice;5886;Velké Poříčí;hiking_trail_yellow
4.8416;11524;Świdry Małe;11531;Michalin, stacja kolejowa;hiking_trail_green
